Date,datetime,open,high,low,close,volume,name
0,2023-03-05 12:00:00,22402.28,22436.34,22400.29,22427.75,381.1,BTC
1,2023-03-05 13:00:00,22427.75,22491.26,22427.1,22471.47,956.68,BTC
2,2023-03-05 14:00:00,22471.47,22476.34,22429.48,22442.69,676.29,BTC
3,2023-03-05 15:00:00,22442.69,22472.67,22433.3,22445.8,385.79,BTC
4,2023-03-05 16:00:00,22445.8,22461.25,22432.18,22450.14,445.33,BTC
5,2023-03-05 17:00:00,22450.14,22458.81,22430.8,22432.12,312.79,BTC
6,2023-03-05 18:00:00,22432.12,22451.25,22430.76,22435.69,322.47,BTC
7,2023-03-05 19:00:00,22435.69,22451.61,22387.08,22409.69,827.71,BTC
8,2023-03-05 20:00:00,22409.69,22424.07,22403.98,22414.95,395.82,BTC
9,2023-03-05 21:00:00,22414.95,22536.32,22358.69,22488.75,2366.5,BTC
10,2023-03-05 22:00:00,22488.75,22490.74,22397.85,22436.93,939.0,BTC
11,2023-03-05 23:00:00,22436.93,22460.4,22381.75,22434.09,1268.42,BTC
12,2023-03-06 00:00:00,22434.09,22469.75,22379.34,22453.46,931.83,BTC
13,2023-03-06 01:00:00,22453.46,22505.67,22350.46,22391.32,2206.11,BTC
14,2023-03-06 02:00:00,22391.32,22405.41,22311.67,22397.78,2177.04,BTC
15,2023-03-06 03:00:00,22397.78,22414.99,22379.48,22393.79,620.88,BTC
16,2023-03-06 04:00:00,22393.79,22402.0,22342.66,22349.92,599.02,BTC
17,2023-03-06 05:00:00,22349.92,22374.12,22325.84,22374.12,475.11,BTC
18,2023-03-06 06:00:00,22374.12,22430.69,22372.39,22408.75,458.51,BTC
19,2023-03-06 07:00:00,22408.75,22431.59,22396.28,22398.78,383.37,BTC
20,2023-03-06 08:00:00,22398.78,22451.0,22367.84,22418.25,826.9,BTC
21,2023-03-06 09:00:00,22418.25,22424.13,22374.98,22405.67,894.94,BTC
22,2023-03-06 10:00:00,22405.67,22414.12,22378.55,22404.66,724.6,BTC
23,2023-03-06 11:00:00,22404.66,22405.66,22367.11,22383.84,428.49,BTC
24,2023-03-06 12:00:00,22383.84,22413.76,22367.06,22403.46,433.61,BTC
25,2023-03-06 13:00:00,22403.46,22481.57,22396.21,22441.44,1111.25,BTC
26,2023-03-06 14:00:00,22441.44,22473.85,22413.87,22447.19,1344.33,BTC
27,2023-03-06 15:00:00,22447.19,22595.33,22439.44,22555.94,2468.72,BTC
28,2023-03-06 16:00:00,22555.94,22583.68,22477.79,22526.52,1936.52,BTC
29,2023-03-06 17:00:00,22526.52,22533.52,22478.38,22485.07,997.6,BTC
30,2023-03-06 18:00:00,22485.07,22535.17,22475.64,22505.1,709.59,BTC
31,2023-03-06 19:00:00,22505.1,22510.77,22373.26,22397.19,1953.0,BTC
32,2023-03-06 20:00:00,22397.19,22414.76,22349.47,22354.4,1462.26,BTC
33,2023-03-06 21:00:00,22354.4,22433.09,22328.87,22410.87,1020.05,BTC
